▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3465
- Network:       http://192.168.30.129:3465
✓ Ready in 1122ms

○ Compiling /[module] ...
 GET /dashboard 200 in 3.4s (next.js: 2.1s, generate-params: 2.1s, application-code: 1345ms)
 GET /roster?section=coverage 200 in 427ms (next.js: 10ms, generate-params: 66µs, application-code: 417ms)
 GET /roster?section=coverage 200 in 1833ms (next.js: 29ms, generate-params: 22ms, application-code: 1804ms)
 GET /roster?section=open-shifts 200 in 417ms (next.js: 30ms, generate-params: 23ms, application-code: 387ms)
 GET /roster?section=open-shifts 200 in 300ms (next.js: 6ms, generate-params: 60µs, application-code: 294ms)
 GET /time-attendance 200 in 431ms (next.js: 29ms, generate-params: 18ms, application-code: 403ms)
 GET /time-attendance 200 in 509ms (next.js: 10ms, generate-params: 76µs, application-code: 499ms)
 GET /time-attendance?section=timesheets 200 in 257ms (next.js: 35ms, generate-params: 25ms, application-code: 222ms)
 GET /time-attendance?section=timesheets 200 in 562ms (next.js: 12ms, generate-params: 50µs, application-code: 550ms)
 GET /time-attendance?section=approvals 200 in 236ms (next.js: 23ms, generate-params: 16ms, application-code: 213ms)
 GET /time-attendance?section=approvals 200 in 523ms (next.js: 6ms, generate-params: 36µs, application-code: 517ms)
 GET /staffpay?section=overview 200 in 301ms (next.js: 24ms, generate-params: 13ms, application-code: 277ms)
 GET /staffpay?section=overview 200 in 634ms (next.js: 6ms, generate-params: 31µs, application-code: 629ms)
 GET /staffpay?section=people 200 in 301ms (next.js: 25ms, generate-params: 18ms, application-code: 277ms)
 GET /staffpay?section=people 200 in 372ms (next.js: 4ms, generate-params: 22µs, application-code: 367ms)
 GET /staffpay?section=approval 200 in 1367ms (next.js: 27ms, generate-params: 19ms, application-code: 1340ms)
 GET /staffpay?section=approval 200 in 324ms (next.js: 23ms, generate-params: 14ms, application-code: 301ms)
 GET /staffpay?section=export 200 in 273ms (next.js: 3ms, generate-params: 50µs, application-code: 270ms)
 GET /staffpay?section=export 200 in 266ms (next.js: 18ms, generate-params: 14ms, application-code: 248ms)
 GET /staffpay?section=reconciliation 200 in 1165ms (next.js: 15ms, generate-params: 57µs, application-code: 1149ms)
 GET /staffpay?section=reconciliation 200 in 1050ms (next.js: 26ms, generate-params: 18ms, application-code: 1024ms)
 GET /staffpay?section=adjustments 200 in 622ms (next.js: 27ms, generate-params: 17ms, application-code: 594ms)
 GET /staffpay?section=adjustments 200 in 536ms (next.js: 22ms, generate-params: 17ms, application-code: 515ms)
 GET /dashboard 200 in 1364ms (next.js: 13ms, generate-params: 60µs, application-code: 1350ms)
 GET /dashboard 200 in 1505ms (next.js: 23ms, generate-params: 17ms, application-code: 1482ms)
 GET /dashboard 200 in 1236ms (next.js: 21ms, generate-params: 16ms, application-code: 1215ms)
 GET /dashboard 200 in 146ms (next.js: 35ms, generate-params: 20ms, application-code: 111ms)
 GET /action-inbox 200 in 618ms (next.js: 26ms, generate-params: 66µs, application-code: 592ms)
 GET /action-inbox 200 in 490ms (next.js: 17ms, generate-params: 7ms, application-code: 473ms)
 GET /action-inbox 200 in 300ms (next.js: 31ms, generate-params: 20ms, application-code: 270ms)
 GET /settings 200 in 538ms (next.js: 24ms, generate-params: 17ms, application-code: 514ms)
 GET /settings 200 in 442ms (next.js: 26ms, generate-params: 18ms, application-code: 416ms)
 GET /settings 200 in 245ms (next.js: 10ms, generate-params: 98µs, application-code: 235ms)
 GET /staff-doctors 200 in 645ms (next.js: 26ms, generate-params: 15ms, application-code: 619ms)
 GET /staff-doctors 200 in 462ms (next.js: 25ms, generate-params: 17ms, application-code: 438ms)
 GET /staff-doctors 200 in 813ms (next.js: 15ms, generate-params: 54µs, application-code: 797ms)
 GET /staff-doctors 200 in 686ms (next.js: 11ms, generate-params: 56µs, application-code: 675ms)
 GET /staff-doctors?section=people 200 in 650ms (next.js: 39ms, generate-params: 24ms, application-code: 611ms)
 GET /staff-doctors?section=people 200 in 337ms (next.js: 21ms, generate-params: 14ms, application-code: 316ms)
 GET /staff-doctors?section=people 200 in 563ms (next.js: 43ms, generate-params: 27ms, application-code: 520ms)
 GET /staff-doctors?section=credentials 200 in 924ms (next.js: 6ms, generate-params: 67µs, application-code: 918ms)
 GET /staff-doctors?section=credentials 200 in 384ms (next.js: 23ms, generate-params: 14ms, application-code: 361ms)
 GET /staff-doctors?section=credentials 200 in 627ms (next.js: 20ms, generate-params: 58µs, application-code: 608ms)
 GET /staff-doctors?section=credentials 200 in 518ms (next.js: 10ms, generate-params: 86µs, application-code: 508ms)
 GET /roster 200 in 237ms (next.js: 21ms, generate-params: 15ms, application-code: 217ms)
 GET /roster 200 in 199ms (next.js: 5ms, generate-params: 27µs, application-code: 195ms)
 GET /roster 200 in 382ms (next.js: 25ms, generate-params: 15ms, application-code: 356ms)
 GET /roster?section=coverage 200 in 294ms (next.js: 9ms, generate-params: 39µs, application-code: 285ms)
 GET /roster?section=coverage 200 in 400ms (next.js: 18ms, generate-params: 10ms, application-code: 382ms)
 GET /roster?section=coverage 200 in 969ms (next.js: 16ms, generate-params: 48µs, application-code: 953ms)
 GET /roster?section=open-shifts 200 in 633ms (next.js: 102ms, generate-params: 82ms, application-code: 530ms)
 GET /roster?section=open-shifts 200 in 415ms (next.js: 10ms, generate-params: 66µs, application-code: 405ms)
 GET /roster?section=open-shifts 200 in 489ms (next.js: 27ms, generate-params: 17ms, application-code: 462ms)
 GET /time-attendance 200 in 736ms (next.js: 7ms, generate-params: 32µs, application-code: 729ms)
 GET /time-attendance 200 in 345ms (next.js: 20ms, generate-params: 12ms, application-code: 325ms)
 GET /time-attendance 200 in 1241ms (next.js: 9ms, generate-params: 62µs, application-code: 1233ms)
 GET /time-attendance?section=timesheets 200 in 1001ms (next.js: 26ms, generate-params: 19ms, application-code: 975ms)
 GET /time-attendance?section=timesheets 200 in 844ms (next.js: 12ms, generate-params: 77µs, application-code: 832ms)
 GET /time-attendance?section=timesheets 200 in 755ms (next.js: 27ms, generate-params: 18ms, application-code: 728ms)
 GET /time-attendance?section=approvals 200 in 322ms (next.js: 11ms, generate-params: 67µs, application-code: 312ms)
 GET /time-attendance?section=approvals 200 in 518ms (next.js: 25ms, generate-params: 13ms, application-code: 493ms)
 GET /time-attendance?section=approvals 200 in 380ms (next.js: 24ms, generate-params: 19ms, application-code: 356ms)
 GET /staffpay?section=overview 200 in 439ms (next.js: 5ms, generate-params: 43µs, application-code: 433ms)
 GET /staffpay?section=overview 200 in 304ms (next.js: 25ms, generate-params: 18ms, application-code: 279ms)
 GET /staffpay?section=overview 200 in 403ms (next.js: 14ms, generate-params: 53µs, application-code: 389ms)
